OBJECTID,hspf_id,LU,Area_ac,Shape_Length,Shape_Area
1,1,Forest,2030.600778427451800,114723.208705838710000,8217582.671807391600000
2,1,Pasture,323.057722793968310,33190.684421291560000,1307373.449783259500000
3,1,RAOCUT,168.435886201644680,58399.521391302871000,681638.574389332560000
4,2,Forest,561.171357469040460,56786.840890822554000,2270988.995987413500000
5,2,Pasture,85.793593547600267,19870.848526783215000,347195.743830467980000
6,2,RAOCUT,97.374292666483726,34997.877100991886000,394061.357897872340000
7,3,Forest,0.459064263851189,227.610834247224150,1857.774595551464200
8,3,Pasture,4.528423158328773,1222.259058131879300,18325.951645360972000
9,3,RAOCUT,0.326873594583278,243.137690538831040,1322.815796810208400
10,4,Forest,357.803790235646430,38380.730230459849000,1447986.358413830400000
11,4,Pasture,103.576020349274020,14734.470566553082000,419158.959791255300000
12,4,RAOCUT,57.121428938379523,19496.259538504721000,231163.146207606620000
13,5,Forest,102.080177438575960,11121.285772224082000,413105.474087276730000
14,5,Pasture,113.947615531363280,12614.100468822255000,461131.484254356120000
15,5,RAOCUT,22.716306982291361,7991.051188165593900,91930.000524130155000
16,6,Forest,350.863509315345650,31212.566459692407000,1419899.925652632300000
17,6,Pasture,119.395161018052720,14268.744338389673000,483177.006875483670000
18,6,RAOCUT,49.398972712465046,16304.920883997991000,199911.349626000450000
19,7,Forest,314.316227782341740,21025.097136810073000,1271997.733051355500000
20,7,Pasture,186.605472648305980,14664.038875940414000,755168.576113068620000
21,7,RAOCUT,34.997880491625651,11230.336026643394000,141631.963965212320000
22,8,Forest,725.107912117660590,46207.114785473241000,2934419.348752067900000
23,8,Pasture,66.059849116953245,7248.013576213220400,267335.794003823950000
24,8,RAOCUT,70.149575920736893,24635.999598443883000,283886.397387924600000
25,9,Forest,1065.718584394244300,37181.683658695627000,4312827.349019030100000
26,9,Pasture,35.383751331699621,7228.335489641453900,143193.534098856820000
27,9,RAOCUT,42.868845564031901,14112.758818509818000,173484.756930010070000
28,10,Forest,144.884752129334090,8098.838808810726700,586330.134980622450000
29,10,Pasture,10.742181965132554,2733.332939227451800,43472.241964980109000
30,10,RAOCUT,8.053222871788295,2853.533867093560300,32590.367061052923000
31,11,Forest,1251.159972283296400,59709.130858713121000,5063285.022404301900000
32,11,Pasture,51.105981922673557,8683.747866461491900,206819.398443596350000
33,11,RAOCUT,59.652516443441151,20089.428823773367000,241406.134905035490000
34,12,Forest,530.948381981891090,19803.598225443311000,2148680.464299567500000
35,12,Pasture,8.107862087778646,2490.048945834467300,32811.485007669282000
36,12,RAOCUT,23.454841278150631,8560.867114956976400,94918.754737495809000
37,13,Forest,2402.416964773328300,115790.366876120940000,9722275.412238420900000
38,13,Pasture,395.312031428872270,53226.020245498250000,1599777.432343253200000
39,13,RAOCUT,110.786432259963260,37520.378482411659000,448338.578258534660000
40,14,Forest,1367.683872853125600,70377.527376517552000,5534842.404016055200000
41,14,Pasture,193.041247210689140,29004.601003851647000,781213.335912902490000
42,14,RAOCUT,73.499625771776849,26770.095259234953000,297443.622371811480000
43,15,Forest,5.913336393609790,1259.295306636835700,23930.519084272055000
44,15,Pasture,0.180438319755333,177.624581295694210,730.210893989589750
45,15,RAOCUT,0.138685437543520,139.639188008411990,561.242298583298750
46,16,Forest,1047.698108527514700,55200.346143046692000,4239900.778817062300000
47,16,Pasture,109.287012469191080,14989.912438028570000,442270.617376555340000
48,16,RAOCUT,88.237187701898165,29942.695397266983000,357084.658083144980000
49,17,Forest,530.349997801336600,31764.467740400163000,2146258.879749099300000
50,17,Pasture,173.294250340474660,19872.050366928695000,701299.755151558900000
51,17,RAOCUT,28.464154578065958,10940.587082507660000,115190.807525201960000
52,18,Forest,1287.527258085605100,63509.823839023702000,5210458.795213134000000
53,18,Pasture,46.878499776991838,10430.091613956894000,189711.316739504550000
54,18,RAOCUT,112.340069333210200,39162.563238579889000,454625.949575942880000